user_id,tx_id,timestamp,amount,currency,tx_type,counterparty_id,device_id,geo_lat,geo_lon,balance_after,is_labelled_fraud,anomaly_score,anomaly_label,tx_velocity,avg_amount_30d,avg_freq_30d,user_profile_strength_label,user_profile_strength_score,fuzzy_risk_category,fuzzy_risk_score
U0001,T00000001,2025-06-20 07:15:59,84.05,INR,debit,BNK861331,D_U0001_2,22.622141,83.141662,35564.94,0,0.0506263461425208,0,1,297.27,0.5333,medium,5.0,low,15.555555555555555
U0001,T00000002,2025-06-20 13:07:22,179.28,INR,debit,EXT942847,D_U0001_2,22.557139,82.815869,35385.66,0,0.0189785930007645,0,2,297.27,0.5333,medium,5.0,low,17.61904761904762
U0001,T00000003,2025-06-22 12:56:26,50.0,INR,credit,WLT37470,D_U0001_3,22.738067,82.780463,35435.66,0,0.0895043677273616,0,1,297.27,0.5333,medium,5.0,low,15.555555555555555
U0001,T00000004,2025-06-25 08:53:19,51.53,INR,debit,WLT595549,D_U0001_2,22.654811,82.814801,35384.13,0,0.1047491733508739,0,1,297.27,0.5333,medium,5.0,low,15.555555555555555
U0001,T00000005,2025-06-25 13:07:13,206.84,INR,credit,WLT522643,D_U0001_1,22.73355,82.865639,35590.97,0,0.0414445619750186,0,2,297.27,0.5333,medium,5.0,low,17.61904761904762
U0001,T00000006,2025-06-26 15:27:14,113.94,INR,debit,WLT964293,D_U0001_3,22.661026,82.861778,35477.03,0,0.0391212496383506,0,1,297.27,0.5333,medium,5.0,low,15.555555555555555
U0001,T00000007,2025-06-30 11:56:24,144.44,INR,debit,WLT447605,D_U0001_3,22.71414,82.706877,35332.59,0,0.0684443957669922,0,1,297.27,0.5333,medium,5.0,low,15.555555555555555
U0001,T00000008,2025-07-01 15:24:35,11937.2,INR,debit,BNK279572,D_U0001_X4,31.102901,74.969622,23395.39,1,0.8058809341716623,1,1,297.27,0.5333,medium,5.0,low,0.0
U0001,T00000009,2025-07-03 15:18:21,187.38,INR,credit,EXT950073,D_U0001_1,22.836974,82.800468,23582.77,0,0.3437252234839255,0,1,297.27,0.5333,medium,5.0,low,18.62861468763169
U0001,T00000010,2025-07-06 09:38:59,1057.17,INR,debit,BNK66964,D_U0001_3,22.684754,82.77484,22525.6,0,0.2748367170518452,0,1,297.27,0.5333,medium,5.0,low,17.06437024597725
U0001,T00000011,2025-07-06 11:38:56,138.03,INR,debit,BNK283995,D_U0001_2,22.812044,82.892605,22387.57,0,0.0317783143690912,0,2,297.27,0.5333,medium,5.0,low,17.61904761904762
U0001,T00000012,2025-07-09 14:11:19,1070.3,INR,debit,MCH803853,D_U0001_3,22.740478,82.880756,21317.27,0,0.2769169067167254,0,1,297.27,0.5333,medium,5.0,low,17.109423252429316
